Kuukausi;SaajatYhteensä;EtuudetYhteensä;PäivätYhteensä;OsuusYhteensä;Saajat300;Etuudet300;Päivät300;Osuus300;Saajat500;Etuudet500;Päivät500;Osuus500;Saajat1000;Etuudet1000;Päivät1000;Osuus1000
2018M11;1113;763268,25;24381;458673,11;180;122580,1;3881;61290,05;378;255493,24;8394;127746,62;556;385194,91;12106;269636,44
2018M12;1093;719942,32;22548;433262,33;180;114748,66;3575;57374,33;368;238737,82;7542;119368,91;546;366455,84;11431;256519,09
2019M01;1220;861465,72;27155;513895,05;233;168738,88;5248;84369,44;402;276915,9;8960;138457,95;588;415810,94;12947;291067,66
2019M02;1143;733919,08;23177;440314,53;205;131154,48;4123;65577,24;367;235989,66;7510;117994,83;571;366774,94;11544;256742,46
2019M03;1131;744845,55;23691;449203,95;203;132552;4171;66276;353;228387,66;7533;114193,83;577;383905,89;11987;268734,12
2019M04;1120;762216,55;24470;458849,21;189;127645,38;3996;63822,69;364;245866,48;7964;122933,24;573;388704,69;12510;272093,28
2019M05;1144;792661,73;25068;479005,09;175;119363,24;3687;59681,62;383;259927,36;8318;129963,68;590;413371,13;13063;289359,79
2019M06;1170;766139,16;24234;461760,22;191;120957,58;3805;60478,79;392;251728,38;8038;125864,19;590;393453,2;12391;275417,24
2019M07;1200;830830,67;26643;501655,64;185;130501,26;4056;65250,63;392;269127,88;8700;134563,94;628;431201,53;13887;301841,07
2019M08;1219;841415,67;26719;508289,66;194;131786,82;4193;65893,41;398;271719,74;8633;135859,87;627;437909,11;13893;306536,38
2019M09;1175;749657,85;24270;454207,55;191;118748,34;4069;59374,17;383;234016,38;7681;117008,19;602;396893,13;12520;277825,19
2019M10;1146;795473,81;25444;480945,6;189;127504,3;4101;63752,15;366;251926,02;8029;125963,01;598;416043,49;13314;291230,44
2019M11;1066;692049,45;22145;418593,02;182;113173,9;3737;56586,95;340;216034,08;6961;108017,04;546;362841,47;11447;253989,03
2019M12;1107;763396,24;24204;458828,15;193;127404,4;4098;63702,2;358;250341,68;7920;125170,84;558;385650,16;12186;269955,11
2020M01;1223;859997;26387;520059;223;143435;4493;71718;386;266261;8374;133131;619;450300;13520;315210
2020M02;1182;802518;23503;485689;215;137494;4156;68747;367;242874;7217;121437;600;422150;12130;295505
2020M03;1195;837798;24411;505536;224;151521;4647;75760;360;253091;7532;126546;613;433186;12232;303230
2020M04;1188;885421;25594;533869;225;167815;4996;83907;363;261813;7551;130907;603;455793;13047;319055
